f[Hz]	Re[Y11]	Im[Y11]	Re[Y21]	Im[Y21]	Re[Y12]	Im[Y12]	Re[Y22]	Im[Y22]
1.5106201e+012	350.113070	1996.326612	637.965644	-905.427176	18.240466	-575.419330	509.239376	1513.059653
1.5258789e+012	354.219708	2018.009861	637.798685	-920.178687	17.659570	-576.603456	525.709828	1525.061534
1.5411377e+012	358.480670	2040.417471	637.109944	-934.143298	17.932654	-577.420173	542.457735	1536.244308
1.5563965e+012	363.193400	2063.231411	636.414120	-947.285408	18.606835	-578.071153	559.763145	1546.538036
1.5716553e+012	368.264656	2086.118542	635.910124	-959.932959	19.636911	-577.946651	577.721096	1555.288683
1.5869141e+012	373.428111	2109.003482	635.500191	-971.981685	22.016741	-576.863740	595.575167	1561.844303
1.6021729e+012	378.487387	2132.058539	635.901814	-983.063062	26.462979	-575.988274	612.211050	1566.532115
1.6174316e+012	383.479083	2155.585864	638.426537	-994.203029	32.142911	-576.575970	627.389578	1570.404405
1.6326904e+012	388.743782	2179.750575	642.598599	-1007.850783	37.704329	-578.411697	641.803475	1573.877018
1.6479492e+012	394.635694	2204.296340	645.466491	-1024.831244	42.935545	-580.520816	655.699292	1576.389016
1.6632080e+012	401.031097	2228.786650	645.020456	-1042.704315	48.291929	-582.712555	668.317644	1577.768330
1.6784668e+012	407.458801	2253.279409	642.838979	-1059.211261	53.568071	-585.117885	679.282425	1578.997429
1.6937256e+012	413.913433	2278.364939	640.804277	-1075.859655	58.586459	-586.979554	689.633985	1580.782938
1.7089844e+012	421.103126	2304.299088	636.537923	-1094.877037	64.529059	-587.657169	700.412592	1582.183480
1.7242432e+012	429.656938	2330.571497	625.996345	-1113.462772	72.742401	-588.286204	710.939697	1581.932106
1.7395020e+012	439.655565	2356.513805	610.530155	-1125.393813	82.774044	-590.629446	720.037910	1580.478668
1.7547607e+012	451.073048	2381.552129	597.017333	-1129.097791	93.401609	-595.114746	728.479085	1578.815179
1.7700195e+012	463.556187	2404.705182	589.659207	-1130.092232	104.229455	-602.116794	737.905684	1575.377187
1.7852783e+012	475.438794	2425.393902	585.301761	-1133.956548	113.319402	-613.238432	746.847304	1566.712504
1.8005371e+012	485.007569	2445.441181	578.018719	-1140.434546	115.344824	-627.008576	750.524898	1552.326654
1.8157959e+012	494.017257	2467.791638	564.243929	-1145.062152	107.910629	-634.863411	746.339421	1536.026329
1.8310547e+012	507.135768	2491.201086	543.074657	-1141.177113	99.262186	-628.311281	736.488764	1519.789368
1.8463135e+012	524.982089	2509.228513	518.835439	-1119.386388	102.279926	-610.679289	720.857901	1499.282188
1.8615723e+012	541.044330	2518.349031	505.915028	-1073.993939	119.850250	-593.744892	689.057145	1471.786095
1.8768311e+012	550.728039	2523.058521	521.201669	-1014.398315	145.919340	-581.736536	627.174716	1449.559597
1.8920898e+012	558.612652	2524.943057	565.970620	-959.141438	183.125678	-571.916092	536.698869	1458.182303
1.9073486e+012	563.759114	2511.045919	629.310402	-911.169490	241.728624	-577.205891	441.646616	1515.193136
1.9226074e+012	537.823483	2472.452625	722.475783	-858.104574	306.853854	-627.778810	369.897785	1613.618674
1.9378662e+012	441.506368	2444.317655	887.685232	-822.348969	325.559986	-725.380980	330.318876	1734.367883
1.9531250e+012	286.303922	2506.112748	1129.970698	-894.729129	261.226753	-807.237978	319.020100	1872.472991
1.9683838e+012	170.344989	2707.011768	1337.129255	-1161.039950	161.976117	-795.973557	349.663941	2035.692026
1.9836426e+012	215.368643	2982.667627	1325.409853	-1563.369867	134.651780	-700.581580	460.056331	2206.627917
1.9989014e+012	443.915175	3174.214844	1022.004458	-1874.699029	223.341082	-633.321966	667.198782	2318.460111
