f[Hz]	gm	fc	fmin	Gass	P	R	C	gn	ropt	xopt	rc	 
7.324219e+011	522.290615		3.902034e+011 5.130289	1.659349	1.532719	0.936775		0.262862 0.000000	0.000000		0.000000	0.000000
7.476807e+011	525.431845		3.922999e+011 5.177293	1.555504	1.516596	0.946406		0.262862 0.000000	0.000000		0.000000	0.000000
7.629395e+011	529.282772		3.949864e+011 5.219161	1.444676	1.498383	0.957937		0.262862 0.000000	0.000000		0.000000	0.000000
7.781982e+011	533.001993		3.976418e+011 5.260062	1.322537	1.479700	0.970352		0.262862 0.000000	0.000000		0.000000	0.000000
7.934570e+011	536.215173		3.999083e+011 5.302366	1.190962	1.461860	0.982361		0.262862 0.000000	0.000000		0.000000	0.000000
8.087158e+011	539.052327		4.018286e+011 5.346702	1.053791	1.445229	0.993456		0.262862 0.000000	0.000000		0.000000	0.000000
8.239746e+011	541.746428		4.036243e+011 5.391923	0.914131	1.429638	1.003999		0.262862 0.000000	0.000000		0.000000	0.000000
8.392334e+011	544.611807		4.055768e+011 5.434512	0.777372	1.414385	1.014650		0.262862 0.000000	0.000000		0.000000	0.000000
8.544922e+011	548.007296		4.078908e+011 5.471702	0.649758	1.398439	1.025800		0.262862 0.000000	0.000000		0.000000	0.000000
8.697510e+011	551.886278		4.104530e+011 5.505615	0.529571	1.381534	1.037370		0.262862 0.000000	0.000000		0.000000	0.000000
8.850098e+011	555.698693		4.129078e+011 5.540816	0.405764	1.364613	1.049075		0.262862 0.000000	0.000000		0.000000	0.000000
9.002686e+011	559.078846		4.150964e+011 5.577904	0.270749	1.348548	1.060756		0.262862 0.000000	0.000000		0.000000	0.000000
9.155273e+011	562.279319		4.171853e+011 5.613722	0.129887	1.333080	1.072322		0.262862 0.000000	0.000000		0.000000	0.000000
9.307861e+011	565.603499		4.192680e+011 5.647877	-0.006631	1.317703	1.083492		0.262862 0.000000	0.000000		0.000000	0.000000
9.460449e+011	568.858207		4.211807e+011 5.683812	-0.135622	1.302811	1.094004		0.262862 0.000000	0.000000		0.000000	0.000000
9.613037e+011	571.844194		4.229173e+011 5.722013	-0.258247	1.288955	1.104162		0.262862 0.000000	0.000000		0.000000	0.000000
9.765625e+011	574.962902		4.248632e+011 5.757434	-0.371645	1.275551	1.114722		0.262862 0.000000	0.000000		0.000000	0.000000
9.918213e+011	578.712555		4.272868e+011 5.786580	-0.472741	1.261484	1.126007		0.262862 0.000000	0.000000		0.000000	0.000000
1.007080e+012	581.955484		4.294054e+011 5.815606	-0.553791	1.248206	1.137093		0.262862 0.000000	0.000000		0.000000	0.000000
1.022339e+012	584.305860		4.310188e+011 4.842139	-0.269446	1.505479	0.115922		0.507933 0.000000	0.000000		0.000000	0.000000
1.037598e+012	586.701573		4.326733e+011 4.918312	-0.332007	1.519209	0.116440		0.510258 0.000000	0.000000		0.000000	0.000000
1.052856e+012	589.222970		4.344293e+011 4.994721	-0.391424	1.531144	0.117548		0.512029 0.000000	0.000000		0.000000	0.000000
1.068115e+012	591.881818		4.362901e+011 5.062736	-0.447999	1.539749	0.118531		0.513514 0.000000	0.000000		0.000000	0.000000
1.083374e+012	594.619310		4.382058e+011 5.128867	-0.504528	1.546632	0.119519		0.515647 0.000000	0.000000		0.000000	0.000000
1.098633e+012	597.429643		4.401668e+011 5.194509	-0.560400	1.554065	0.120598		0.518105 0.000000	0.000000		0.000000	0.000000
1.113892e+012	600.410864		4.422349e+011 5.258531	-0.614294	1.561607	0.121669		0.520398 0.000000	0.000000		0.000000	0.000000
1.129150e+012	603.628782		4.444437e+011 5.322074	-0.667484	1.569378	0.122692		0.522868 0.000000	0.000000		0.000000	0.000000
1.144409e+012	606.988829		4.467189e+011 5.381718	-0.719394	1.576028	0.123599		0.525032 0.000000	0.000000		0.000000	0.000000
1.159668e+012	610.343834		4.489695e+011 5.438626	-0.771768	1.582257	0.124319		0.526861 0.000000	0.000000		0.000000	0.000000
1.174927e+012	613.699354		4.512232e+011 5.492351	-0.825873	1.587706	0.124872		0.528557 0.000000	0.000000		0.000000	0.000000
1.190186e+012	617.185216		4.535772e+011 5.542347	-0.880949	1.592721	0.125347		0.530272 0.000000	0.000000		0.000000	0.000000
1.205444e+012	620.816558		4.560286e+011 5.588234	-0.936330	1.595867	0.125623		0.532161 0.000000	0.000000		0.000000	0.000000
1.220703e+012	624.431456		4.584655e+011 5.633126	-0.991639	1.599091	0.125820		0.533926 0.000000	0.000000		0.000000	0.000000
1.235962e+012	627.932893		4.608489e+011 5.680670	-1.047071	1.603293	0.126218		0.535457 0.000000	0.000000		0.000000	0.000000
1.251221e+012	631.479160		4.633062e+011 5.724391	-1.099188	1.607920	0.126906		0.536142 0.000000	0.000000		0.000000	0.000000
1.266479e+012	635.360304		4.660069e+011 5.762793	-1.148411	1.611305	0.127611		0.536932 0.000000	0.000000		0.000000	0.000000
1.281738e+012	639.785510		4.690421e+011 5.798762	-1.194508	1.613518	0.128501		0.538102 0.000000	0.000000		0.000000	0.000000
1.296997e+012	644.844517		4.724548e+011 5.840522	-1.241354	1.618727	0.129575		0.540445 0.000000	0.000000		0.000000	0.000000
1.312256e+012	650.519126		4.762560e+011 5.882731	-1.288179	1.623969	0.130779		0.543334 0.000000	0.000000		0.000000	0.000000
1.327515e+012	656.614506		4.803348e+011 5.921137	-1.331280	1.627171	0.132211		0.545374 0.000000	0.000000		0.000000	0.000000
1.342773e+012	662.811219		4.844724e+011 5.959011	-1.372476	1.629270	0.133896		0.546708 0.000000	0.000000		0.000000	0.000000
1.358032e+012	668.903447		4.885210e+011 6.000782	-1.409470	1.629515	0.136492		0.546060 0.000000	0.000000		0.000000	0.000000
1.373291e+012	674.879749		4.924716e+011 6.037466	-1.448531	1.627712	0.138979		0.544959 0.000000	0.000000		0.000000	0.000000
1.388550e+012	680.748897		4.963385e+011 6.081512	-1.493318	1.628445	0.141502		0.544746 0.000000	0.000000		0.000000	0.000000
1.403809e+012	686.577599		5.002024e+011 6.139121	-1.542994	1.635272	0.143937		0.545593 0.000000	0.000000		0.000000	0.000000
1.419067e+012	692.832335		5.044386e+011 6.191366	-1.590069	1.641475	0.146371		0.546298 0.000000	0.000000		0.000000	0.000000
1.434326e+012	700.246141		5.095626e+011 6.234605	-1.629025	1.645618	0.149021		0.546940 0.000000	0.000000		0.000000	0.000000
1.449585e+012	708.923404		5.155710e+011 6.270311	-1.657115	1.649421	0.151650		0.547269 0.000000	0.000000		0.000000	0.000000
1.464844e+012	717.890693		5.217089e+011 6.305420	-1.680089	1.653900	0.154281		0.547336 0.000000	0.000000		0.000000	0.000000
1.480103e+012	726.019908		5.272174e+011 6.352967	-1.705771	1.664519	0.156806		0.547055 0.000000	0.000000		0.000000	0.000000
1.495361e+012	733.138909		5.320613e+011 6.403929	-1.735835	1.676797	0.159292		0.546633 0.000000	0.000000		0.000000	0.000000
1.510620e+012	739.748439		5.365801e+011 6.455762	-1.765598	1.690024	0.161770		0.546112 0.000000	0.000000		0.000000	0.000000
1.525879e+012	746.006837		5.407529e+011 6.493904	-1.795602	1.697139	0.162945		0.546212 0.000000	0.000000		0.000000	0.000000
1.541138e+012	751.779024		5.443869e+011 6.536127	-1.828626	1.705744	0.163877		0.546272 0.000000	0.000000		0.000000	0.000000
1.556396e+012	757.440723		5.477931e+011 6.582170	-1.865231	1.715270	0.165020		0.545656 0.000000	0.000000		0.000000	0.000000
1.571655e+012	763.613661		5.515233e+011 6.631395	-1.900640	1.725610	0.166949		0.544163 0.000000	0.000000		0.000000	0.000000
1.586914e+012	770.223199		5.555761e+011 6.684223	-1.930947	1.736532	0.169544		0.542084 0.000000	0.000000		0.000000	0.000000
1.602173e+012	777.050999		5.597587e+011 6.736334	-1.955586	1.747868	0.172253		0.539930 0.000000	0.000000		0.000000	0.000000
1.617432e+012	785.065548		5.646728e+011 6.779410	-1.971018	1.758389	0.175088		0.537717 0.000000	0.000000		0.000000	0.000000
1.632690e+012	795.333087		5.710038e+011 6.811314	-1.973611	1.766113	0.178362		0.535438 0.000000	0.000000		0.000000	0.000000
1.647949e+012	806.416658		5.777453e+011 6.841551	-1.969073	1.771541	0.181877		0.532982 0.000000	0.000000		0.000000	0.000000
1.663208e+012	815.412540		5.829387e+011 6.883434	-1.970526	1.778203	0.185127		0.530757 0.000000	0.000000		0.000000	0.000000
1.678467e+012	822.235153		5.865744e+011 6.934225	-1.978699	1.787539	0.187964		0.528717 0.000000	0.000000		0.000000	0.000000
1.693726e+012	829.782272		5.905991e+011 6.982629	-1.982071	1.796423	0.190693		0.526762 0.000000	0.000000		0.000000	0.000000
1.708984e+012	838.042798		5.948675e+011 7.034013	-1.982193	1.803623	0.193411		0.524834 0.000000	0.000000		0.000000	0.000000
1.724243e+012	841.597528		5.955685e+011 7.111861	-2.005645	1.814964	0.195496		0.523067 0.000000	0.000000		0.000000	0.000000
1.739502e+012	836.392298		5.899920e+011 7.228022	-2.075513	1.837155	0.196342		0.521366 0.000000	0.000000		0.000000	0.000000
1.754761e+012	826.118089		5.809137e+011 7.366718	-2.183741	1.868541	0.196419		0.519913 0.000000	0.000000		0.000000	0.000000
1.770020e+012	817.242212		5.731315e+011 7.498340	-2.300784	1.900499	0.196933		0.518729 0.000000	0.000000		0.000000	0.000000
1.785278e+012	809.919893		5.670033e+011 7.609505	-2.405130	1.928705	0.198438		0.517322 0.000000	0.000000		0.000000	0.000000
1.800537e+012	800.144979		5.595348e+011 7.714111	-2.492405	1.957091	0.200254		0.516007 0.000000	0.000000		0.000000	0.000000
1.815796e+012	787.851849		5.500233e+011 7.843403	-2.566206	1.992736	0.201187		0.514622 0.000000	0.000000		0.000000	0.000000
1.831055e+012	774.152255		5.391310e+011 8.042202	-2.652861	2.046292	0.200324		0.513402 0.000000	0.000000		0.000000	0.000000
1.846313e+012	753.885249		5.243788e+011 8.334673	-2.788942	2.131294	0.197359		0.512374 0.000000	0.000000		0.000000	0.000000
1.861572e+012	724.598853		5.051188e+011 8.676093	-2.937058	2.250712	0.192887		0.511394 0.000000	0.000000		0.000000	0.000000
1.876831e+012	704.112697		4.932274e+011 8.954973	-2.925986	2.379714	0.188963		0.510608 0.000000	0.000000		0.000000	0.000000
1.892090e+012	713.259120		5.026783e+011 9.087113	-2.587740	2.476717	0.188644		0.510275 0.000000	0.000000		0.000000	0.000000
1.907349e+012	742.090902		5.290532e+011 9.069567	-1.973231	2.532856	0.194142		0.510246 0.000000	0.000000		0.000000	0.000000
1.922607e+012	789.873680		5.775839e+011 8.734617	-1.214626	2.542498	0.208594		0.510380 0.000000	0.000000		0.000000	0.000000
1.937866e+012	921.950363		6.985197e+011 7.591849	-0.253138	2.396502	0.239728		0.510612 0.000000	0.000000		0.000000	0.000000
1.953125e+012	1149.334194		8.788077e+011 5.836361	0.767622	2.045828	0.284736		0.510943 0.000000	0.000000		0.000000	0.000000
1.968384e+012	1391.564900		1.006222e+012 4.768935	1.636873	1.692430	0.311239		0.511027 0.000000	0.000000		0.000000	0.000000
1.983643e+012	1588.518420		1.049304e+012 4.844179	1.957271	1.484826	0.304614		0.511124 0.000000	0.000000		0.000000	0.000000
1.998901e+012	1632.307464		1.003398e+012 5.827445	0.990886	1.446495	0.283826		0.511331 0.000000	0.000000		0.000000	0.000000
