f[Hz]	Si_D(f)	Si_G(f)	Si_G-D(f).re	Si_G-D(f).im
1.1902e+012	2.3056e-017	5.9524e-018	5.6463e-018	6.2122e-018
1.2054e+012	2.3337e-017	6.0605e-018	5.7094e-018	6.3288e-018
1.2207e+012	2.3620e-017	6.1652e-018	5.7738e-018	6.4431e-018
1.2360e+012	2.3914e-017	6.2806e-018	5.8419e-018	6.5622e-018
1.2512e+012	2.4212e-017	6.4113e-018	5.9273e-018	6.6800e-018
1.2665e+012	2.4498e-017	6.5437e-018	6.0113e-018	6.7982e-018
1.2817e+012	2.4777e-017	6.6861e-018	6.0937e-018	6.9258e-018
1.2970e+012	2.5120e-017	6.8374e-018	6.1854e-018	7.0828e-018
1.3123e+012	2.5484e-017	6.9937e-018	6.2812e-018	7.2536e-018
1.3275e+012	2.5833e-017	7.1602e-018	6.3801e-018	7.4173e-018
1.3428e+012	2.6175e-017	7.3405e-018	6.4817e-018	7.5781e-018
1.3580e+012	2.6489e-017	7.5732e-018	6.5805e-018	7.7341e-018
1.3733e+012	2.6770e-017	7.8033e-018	6.6777e-018	7.8764e-018
1.3885e+012	2.7090e-017	8.0395e-018	6.7754e-018	8.0392e-018
1.4038e+012	2.7506e-017	8.2750e-018	6.8699e-018	8.2313e-018
1.4191e+012	2.7916e-017	8.5114e-018	6.9682e-018	8.4209e-018
1.4343e+012	2.8318e-017	8.7553e-018	7.0675e-018	8.6121e-018
1.4496e+012	2.8757e-017	8.9907e-018	7.1713e-018	8.7997e-018
1.4648e+012	2.9235e-017	9.2238e-018	7.2876e-018	8.9880e-018
1.4801e+012	2.9820e-017	9.4555e-018	7.4187e-018	9.1860e-018
1.4954e+012	3.0416e-017	9.6930e-018	7.5628e-018	9.3859e-018
1.5106e+012	3.1013e-017	9.9403e-018	7.7129e-018	9.5886e-018
1.5259e+012	3.1481e-017	1.0122e-017	7.8215e-018	9.7504e-018
1.5411e+012	3.1955e-017	1.0306e-017	7.9332e-018	9.9132e-018
1.5564e+012	3.2432e-017	1.0514e-017	8.0577e-018	1.0076e-017
1.5717e+012	3.2920e-017	1.0780e-017	8.2153e-018	1.0251e-017
1.5869e+012	3.3411e-017	1.1096e-017	8.3894e-018	1.0438e-017
1.6022e+012	3.3905e-017	1.1429e-017	8.5646e-018	1.0629e-017
1.6174e+012	3.4422e-017	1.1769e-017	8.7515e-018	1.0823e-017
1.6327e+012	3.4975e-017	1.2120e-017	8.9581e-018	1.1024e-017
1.6479e+012	3.5548e-017	1.2476e-017	9.1751e-018	1.1224e-017
1.6632e+012	3.6122e-017	1.2829e-017	9.3859e-018	1.1426e-017
1.6785e+012	3.6695e-017	1.3179e-017	9.5928e-018	1.1627e-017
1.6937e+012	3.7270e-017	1.3529e-017	9.8017e-018	1.1828e-017
1.7090e+012	3.7845e-017	1.3884e-017	1.0011e-017	1.2030e-017
1.7242e+012	3.8411e-017	1.4241e-017	1.0217e-017	1.2233e-017
1.7395e+012	3.8971e-017	1.4600e-017	1.0423e-017	1.2436e-017
1.7548e+012	3.9540e-017	1.4970e-017	1.0632e-017	1.2649e-017
1.7700e+012	4.0136e-017	1.5352e-017	1.0853e-017	1.2876e-017
1.7853e+012	4.0777e-017	1.5738e-017	1.1087e-017	1.3105e-017
1.8005e+012	4.1457e-017	1.6129e-017	1.1331e-017	1.3343e-017
1.8158e+012	4.2145e-017	1.6539e-017	1.1587e-017	1.3587e-017
1.8311e+012	4.2847e-017	1.6974e-017	1.1850e-017	1.3845e-017
1.8463e+012	4.3566e-017	1.7417e-017	1.2123e-017	1.4114e-017
1.8616e+012	4.4270e-017	1.7860e-017	1.2394e-017	1.4380e-017
1.8768e+012	4.4965e-017	1.8308e-017	1.2668e-017	1.4650e-017
1.8921e+012	4.5699e-017	1.8768e-017	1.2951e-017	1.4944e-017
1.9073e+012	4.6470e-017	1.9238e-017	1.3236e-017	1.5256e-017
1.9226e+012	4.7252e-017	1.9725e-017	1.3525e-017	1.5582e-017
1.9379e+012	4.8045e-017	2.0251e-017	1.3816e-017	1.5927e-017
1.9531e+012	4.8853e-017	2.0825e-017	1.4117e-017	1.6297e-017
1.9684e+012	4.9655e-017	2.1423e-017	1.4433e-017	1.6667e-017
1.9836e+012	5.0421e-017	2.2020e-017	1.4744e-017	1.7031e-017
1.9989e+012	5.1170e-017	2.2624e-017	1.5056e-017	1.7398e-017
2.0142e+012	5.1949e-017	2.3258e-017	1.5394e-017	1.7777e-017
2.0294e+012	5.2764e-017	2.3925e-017	1.5770e-017	1.8162e-017
2.0447e+012	5.3594e-017	2.4608e-017	1.6164e-017	1.8550e-017
2.0599e+012	5.4423e-017	2.5293e-017	1.6560e-017	1.8938e-017
2.0752e+012	5.5254e-017	2.5976e-017	1.6955e-017	1.9326e-017
2.0905e+012	5.6110e-017	2.6650e-017	1.7353e-017	1.9715e-017
2.1057e+012	5.6990e-017	2.7327e-017	1.7759e-017	2.0112e-017
2.1210e+012	5.7881e-017	2.8021e-017	1.8176e-017	2.0516e-017
2.1362e+012	5.8782e-017	2.8725e-017	1.8603e-017	2.0925e-017
2.1515e+012	5.9686e-017	2.9432e-017	1.9029e-017	2.1336e-017
2.1667e+012	6.0585e-017	3.0138e-017	1.9455e-017	2.1743e-017
2.1820e+012	6.1483e-017	3.0843e-017	1.9883e-017	2.2146e-017
2.1973e+012	6.2388e-017	3.1555e-017	2.0313e-017	2.2558e-017
2.2125e+012	6.3313e-017	3.2304e-017	2.0740e-017	2.3000e-017
