f[Hz]	Cgd[F/m]	Cgs[F/m]	Cds[F/m]	Ri[ohm/m]	gm0[S/m]	gds[S/m]	tau[s]
7.4768066e+011	6.1186884e-011	1.5197928e-010	2.0065817e-010	2.4707362e-004	525.431845	129.082017	5.0882085e-015
7.6293945e+011	6.1551801e-011	1.5171620e-010	2.0221306e-010	2.4695880e-004	529.282772	131.471762	4.3157595e-015
7.7819824e+011	6.1943728e-011	1.5138871e-010	2.0373539e-010	2.4671921e-004	533.001993	134.577038	3.9148726e-015
7.9345703e+011	6.2279240e-011	1.5112291e-010	2.0515490e-010	2.4588417e-004	536.215173	138.227898	3.8772086e-015
8.0871582e+011	6.2460484e-011	1.5104556e-010	2.0638321e-010	2.4444873e-004	539.052327	142.557184	4.1695500e-015
8.2397461e+011	6.2511343e-011	1.5110718e-010	2.0739000e-010	2.4276615e-004	541.746428	147.657849	4.5884613e-015
8.3923340e+011	6.2538366e-011	1.5117619e-010	2.0823333e-010	2.4095356e-004	544.611807	153.213448	4.9155531e-015
8.5449219e+011	6.2579438e-011	1.5124759e-010	2.0899558e-010	2.3887335e-004	548.007296	158.799138	5.2255908e-015
8.6975098e+011	6.2593377e-011	1.5140296e-010	2.0972854e-010	2.3667875e-004	551.886278	164.467911	5.7463864e-015
8.8500977e+011	6.2580637e-011	1.5161292e-010	2.1045147e-010	2.3478800e-004	555.698693	170.728754	6.4492206e-015
9.0026855e+011	6.2596515e-011	1.5176374e-010	2.1113622e-010	2.3319250e-004	559.078846	177.907844	7.1025228e-015
9.1552734e+011	6.2636376e-011	1.5187153e-010	2.1168939e-010	2.3136697e-004	562.279319	185.766046	7.6940379e-015
9.3078613e+011	6.2618476e-011	1.5208570e-010	2.1201639e-010	2.2909179e-004	565.603499	193.798351	8.4379234e-015
9.4604492e+011	6.2509423e-011	1.5244963e-010	2.1212525e-010	2.2683437e-004	568.858207	201.664936	9.3387175e-015
9.6130371e+011	6.2375222e-011	1.5282483e-010	2.1212559e-010	2.2498592e-004	571.844194	209.214188	1.0115404e-014
9.7656250e+011	6.2277460e-011	1.5310525e-010	2.1212376e-010	2.2323476e-004	574.962902	216.347207	1.0645464e-014
9.9182129e+011	6.2202804e-011	1.5335488e-010	2.1216289e-010	2.2112689e-004	578.712555	223.128029	1.1147149e-014
1.0070801e+012	6.2219407e-011	1.5347675e-010	2.1239494e-010	2.1898364e-004	581.955484	227.983476	1.1487816e-014
1.0223389e+012	6.2335087e-011	1.5342153e-010	2.1280069e-010	2.1712406e-004	584.305860	231.037085	1.1531721e-014
1.0375977e+012	6.2454861e-011	1.5335796e-010	2.1322921e-010	2.1537186e-004	586.701573	234.222906	1.1545479e-014
1.0528564e+012	6.2566977e-011	1.5329725e-010	2.1366384e-010	2.1365224e-004	589.222970	237.600649	1.1563630e-014
1.0681152e+012	6.2660097e-011	1.5325340e-010	2.1408477e-010	2.1190723e-004	591.881818	241.155836	1.1626564e-014
1.0833740e+012	6.2734039e-011	1.5322977e-010	2.1449428e-010	2.1012897e-004	594.619310	244.829733	1.1732180e-014
1.0986328e+012	6.2799234e-011	1.5321862e-010	2.1491436e-010	2.0833893e-004	597.429643	248.622545	1.1841536e-014
1.1138916e+012	6.2864446e-011	1.5321609e-010	2.1535959e-010	2.0655129e-004	600.410864	252.607270	1.1937434e-014
1.1291504e+012	6.2930137e-011	1.5322884e-010	2.1582725e-010	2.0478661e-004	603.628782	256.841151	1.2046239e-014
1.1444092e+012	6.2995518e-011	1.5325967e-010	2.1631641e-010	2.0310252e-004	606.988829	261.338940	1.2187274e-014
1.1596680e+012	6.3062908e-011	1.5329752e-010	2.1683558e-010	2.0154903e-004	610.343834	266.163393	1.2338256e-014
1.1749268e+012	6.3127682e-011	1.5333566e-010	2.1737736e-010	2.0008504e-004	613.699354	271.464036	1.2483173e-014
1.1901855e+012	6.3172487e-011	1.5339062e-010	2.1790338e-010	1.9860602e-004	617.185216	277.355424	1.2660051e-014
1.2054443e+012	6.3183750e-011	1.5348252e-010	2.1837615e-010	1.9707869e-004	620.816558	283.799835	1.2912016e-014
1.2207031e+012	6.3169061e-011	1.5360048e-010	2.1879534e-010	1.9557213e-004	624.431456	290.675628	1.3211577e-014
1.2359619e+012	6.3146192e-011	1.5371151e-010	2.1918219e-010	1.9411071e-004	627.932893	297.914092	1.3486222e-014
1.2512207e+012	6.3120938e-011	1.5380480e-010	2.1954266e-010	1.9258369e-004	631.479160	305.484250	1.3705214e-014
1.2664795e+012	6.3090525e-011	1.5390354e-010	2.1987561e-010	1.9088438e-004	635.360304	313.296757	1.3889759e-014
1.2817383e+012	6.3060955e-011	1.5403050e-010	2.2020506e-010	1.8907215e-004	639.785510	321.269961	1.4058173e-014
1.2969971e+012	6.3038748e-011	1.5418877e-010	2.2056286e-010	1.8729695e-004	644.844517	329.508010	1.4230310e-014
1.3122559e+012	6.3009330e-011	1.5438076e-010	2.2093872e-010	1.8561327e-004	650.519126	338.282572	1.4473163e-014
1.3275146e+012	6.2949639e-011	1.5461414e-010	2.2128728e-010	1.8397449e-004	656.614506	347.792046	1.4858258e-014
1.3427734e+012	6.2862707e-011	1.5487867e-010	2.2158840e-010	1.8236576e-004	662.811219	358.047594	1.5369858e-014
1.3580322e+012	6.2772385e-011	1.5514924e-010	2.2185691e-010	1.8082269e-004	668.903447	369.027509	1.5930886e-014
1.3732910e+012	6.2681625e-011	1.5542324e-010	2.2208487e-010	1.7934350e-004	674.879749	380.784636	1.6512507e-014
1.3885498e+012	6.2566945e-011	1.5572067e-010	2.2222563e-010	1.7789198e-004	680.748897	393.301795	1.7128244e-014
1.4038086e+012	6.2418767e-011	1.5603726e-010	2.2225422e-010	1.7645517e-004	686.577599	406.381794	1.7736408e-014
1.4190674e+012	6.2251830e-011	1.5634304e-010	2.2219464e-010	1.7498801e-004	692.832335	419.824196	1.8282547e-014
1.4343262e+012	6.2067885e-011	1.5664448e-010	2.2206484e-010	1.7335933e-004	700.246141	433.617976	1.8856805e-014
1.4495850e+012	6.1848118e-011	1.5699405e-010	2.2184701e-010	1.7150388e-004	708.923404	447.839280	1.9659118e-014
1.4648438e+012	6.1593038e-011	1.5741002e-010	2.2153627e-010	1.6956949e-004	717.890693	462.482291	2.0757597e-014
1.4801025e+012	6.1321954e-011	1.5784696e-010	2.2115426e-010	1.6771288e-004	726.019908	477.542552	2.2028278e-014
1.4953613e+012	6.1016846e-011	1.5828625e-010	2.2067909e-010	1.6578867e-004	733.138909	493.121064	2.3376951e-014
1.5106201e+012	6.0624660e-011	1.5879203e-010	2.2003663e-010	1.6348532e-004	739.748439	509.239376	2.4842052e-014
1.5258789e+012	6.0141922e-011	1.5942358e-010	2.1921161e-010	1.6078065e-004	746.006837	525.709828	2.6404189e-014
1.5411377e+012	5.9630801e-011	1.6015654e-010	2.1828040e-010	1.5799969e-004	751.779024	542.457735	2.7895720e-014
1.5563965e+012	5.9112753e-011	1.6095286e-010	2.1725959e-010	1.5536952e-004	757.440723	559.763145	2.9230961e-014
1.5716553e+012	5.8526235e-011	1.6183234e-010	2.1602380e-010	1.5279415e-004	763.613661	577.721096	3.0525089e-014
1.5869141e+012	5.7854876e-011	1.6278965e-010	2.1449552e-010	1.5015803e-004	770.223199	595.575167	3.1811179e-014
1.6021729e+012	5.7216911e-011	1.6372027e-010	2.1283141e-010	1.4758103e-004	777.050999	612.211050	3.2862904e-014
1.6174316e+012	5.6734958e-011	1.6453841e-010	2.1126243e-010	1.4523916e-004	785.065548	627.389578	3.3558223e-014
1.6326904e+012	5.6383671e-011	1.6529820e-010	2.0980547e-010	1.4316220e-004	795.333087	641.803475	3.4212381e-014
1.6479492e+012	5.6065294e-011	1.6608312e-010	2.0830913e-010	1.4132571e-004	806.416658	655.699292	3.5198136e-014
1.6632080e+012	5.5760664e-011	1.6686470e-010	2.0673975e-010	1.3971331e-004	815.412540	668.317644	3.6412453e-014
1.6784668e+012	5.5481827e-011	1.6761484e-010	2.0520492e-010	1.3817851e-004	822.235153	679.282425	3.7538661e-014
1.6937256e+012	5.5156926e-011	1.6845321e-010	2.0369895e-010	1.3651008e-004	829.782272	689.633985	3.8687751e-014
1.7089844e+012	5.4727559e-011	1.6948817e-010	2.0207374e-010	1.3478805e-004	838.042798	700.412592	4.0255287e-014
1.7242432e+012	5.4301307e-011	1.7060047e-010	2.0032034e-010	1.3342707e-004	841.597528	710.939697	4.2114713e-014
1.7395020e+012	5.4039374e-011	1.7158395e-010	1.9864455e-010	1.3276049e-004	836.392298	720.037910	4.3490070e-014
1.7547607e+012	5.3976278e-011	1.7235817e-010	1.9717314e-010	1.3287076e-004	826.118089	728.479085	4.3752588e-014
1.7700195e+012	5.4140569e-011	1.7280234e-010	1.9579385e-010	1.3381299e-004	817.242212	737.905684	4.3030289e-014
1.7852783e+012	5.4669307e-011	1.7267108e-010	1.9433943e-010	1.3545460e-004	809.919893	746.847304	4.1943790e-014
1.8005371e+012	5.5423192e-011	1.7217130e-010	1.9263806e-010	1.3693315e-004	800.144979	750.524898	4.1159017e-014
1.8157959e+012	5.5645929e-011	1.7232716e-010	1.9027900e-010	1.3708692e-004	787.851849	746.339421	4.1359709e-014
1.8310547e+012	5.4612703e-011	1.7392202e-010	1.8671252e-010	1.3605087e-004	774.152255	736.488764	4.2678303e-014
1.8463135e+012	5.2641455e-011	1.7617133e-010	1.8188179e-010	1.3530134e-004	753.885249	720.857901	4.3597702e-014
