f[Hz]	Xd(f).re	Xd(f).im	Xg(f).re	Xg(f).im
1.1444e+012	-3.1539e-009	-2.0711e-009	-9.9056e-011	-7.6742e-010
1.1597e+012	-1.5914e-009	3.4195e-009	-1.1133e-011	-9.8078e-010
1.1749e+012	2.4296e-010	1.6962e-010	-3.0247e-009	-7.6904e-010
1.1902e+012	1.6131e-010	4.0982e-009	-3.9776e-010	4.1712e-009
1.2054e+012	5.4894e-009	-9.8458e-010	2.6593e-009	-7.9500e-010
1.2207e+012	3.6999e-012	-2.8244e-009	-1.2804e-009	7.8941e-010
1.2360e+012	9.7287e-010	-3.3446e-009	3.2215e-009	3.0725e-010
1.2512e+012	-6.1089e-009	-2.6341e-009	-1.0968e-009	-2.3738e-009
1.2665e+012	-1.8341e-009	5.3550e-009	9.5733e-010	1.3620e-009
1.2817e+012	1.7789e-009	3.8051e-010	1.9145e-010	-3.6796e-009
1.2970e+012	-5.0312e-010	1.1027e-009	-3.3407e-009	1.2532e-009
1.3123e+012	8.1038e-010	8.2140e-010	1.8012e-009	1.8126e-010
1.3275e+012	4.2908e-010	2.1104e-009	-3.3991e-009	-1.4907e-009
1.3428e+012	5.5993e-009	1.2434e-009	-1.2782e-009	5.0059e-009
1.3580e+012	3.6263e-009	-8.1333e-009	3.9806e-009	1.8086e-009
1.3733e+012	-8.8407e-009	-4.5157e-009	2.6564e-009	-1.5215e-009
1.3885e+012	-2.3841e-009	6.9485e-009	5.3160e-010	-2.7440e-009
1.4038e+012	2.6257e-009	-1.2425e-009	-1.4749e-009	-1.1155e-009
1.4191e+012	-2.9986e-009	1.8746e-009	-4.6808e-010	-5.1106e-010
1.4343e+012	3.4847e-009	1.5458e-009	-1.7861e-009	-4.8664e-010
1.4496e+012	-7.4641e-010	-1.5785e-009	-1.0711e-009	1.5259e-009
1.4648e+012	8.1017e-010	6.9641e-010	4.4475e-010	1.1126e-009
1.4801e+012	-1.7178e-009	-1.5787e-010	5.7472e-010	-6.5888e-011
1.4954e+012	3.2033e-009	3.3529e-009	-9.4547e-010	5.0766e-010
1.5106e+012	1.9321e-009	-4.9708e-009	1.5339e-009	1.9603e-009
1.5259e+012	-1.7421e-009	9.8246e-010	1.7132e-009	-1.3439e-009
1.5411e+012	1.9083e-009	-4.5667e-009	5.4732e-010	-3.9366e-010
1.5564e+012	-8.2006e-009	7.6336e-011	3.8882e-010	-2.7858e-009
1.5717e+012	1.9771e-009	5.7309e-009	-3.0998e-009	2.7430e-010
1.5869e+012	1.7689e-011	-6.1356e-010	1.3089e-009	9.1453e-010
1.6022e+012	3.0102e-009	2.7558e-009	-1.4711e-009	-1.0308e-009
1.6174e+012	-1.4254e-010	-4.3382e-009	6.2129e-010	1.1659e-009
1.6327e+012	-6.8364e-010	5.0894e-009	-1.8704e-009	-2.0458e-009
1.6479e+012	6.4660e-009	-4.9180e-009	-2.1722e-009	4.4766e-009
1.6632e+012	-6.5144e-009	-3.2133e-009	3.7712e-009	1.7817e-009
1.6785e+012	1.8369e-010	1.9662e-009	2.1083e-009	-3.8358e-010
1.6937e+012	-4.2939e-009	5.8271e-010	2.4295e-009	-2.8247e-009
1.7090e+012	4.2923e-009	6.0785e-009	-2.4545e-009	-2.5159e-009
1.7242e+012	2.3199e-009	-5.8794e-009	-7.9361e-010	6.9749e-010
1.7395e+012	-2.9498e-009	2.2200e-009	-7.7439e-010	-5.1080e-010
1.7548e+012	3.0549e-009	-1.2706e-009	-5.2577e-010	4.1254e-010
1.7700e+012	-2.3018e-009	-1.0166e-009	-1.0852e-009	-1.8420e-011
1.7853e+012	2.8287e-011	1.7031e-010	-4.3928e-010	1.6917e-009
1.8005e+012	-1.1730e-009	7.9349e-010	7.9832e-010	7.9497e-010
1.8158e+012	1.3265e-010	-1.8245e-010	9.6923e-010	6.9928e-011
1.8311e+012	-1.2300e-009	4.2624e-009	-4.4201e-010	-3.1074e-010
1.8463e+012	9.2987e-009	-1.4966e-009	1.1185e-009	1.5337e-009
1.8616e+012	-6.2997e-009	-9.8005e-009	1.4346e-009	-1.7741e-009
1.8768e+012	-5.2363e-009	7.7607e-009	-2.7080e-010	-5.2498e-012
1.8921e+012	3.8400e-009	6.1387e-010	1.0386e-009	-2.3750e-009
1.9073e+012	-4.8063e-011	9.6283e-010	-3.3480e-009	-5.8545e-010
1.9226e+012	1.0572e-009	-1.0312e-009	3.1854e-010	1.3289e-009
1.9379e+012	1.3750e-009	3.1597e-009	-1.7424e-009	-1.4457e-011
1.9531e+012	5.9351e-009	-8.0885e-009	1.5061e-009	3.0363e-009
1.9684e+012	-1.3925e-008	-3.5806e-009	2.3437e-009	-2.9317e-009
1.9836e+012	1.1067e-009	1.3973e-008	-3.8030e-009	-1.9771e-009
1.9989e+012	9.3138e-009	-2.7818e-009	-3.2174e-009	4.9140e-009
2.0142e+012	-7.4509e-011	-4.9741e-009	6.1692e-009	4.3398e-009
2.0294e+012	-3.5489e-009	-3.6732e-009	3.1204e-009	-5.4764e-009
2.0447e+012	-5.2704e-009	3.1026e-009	-1.2268e-009	-3.4945e-010
2.0599e+012	1.1984e-009	4.9149e-009	7.4661e-010	-4.5833e-009
2.0752e+012	4.2492e-009	1.3804e-009	-7.4351e-009	1.3307e-009
