f[Hz]	Xd(f).re	Xd(f).im	Xg(f).re	Xg(f).im
2.2354e+013	-6.4473e-010	2.0724e-009	2.8081e-009	-2.7585e-009
2.2369e+013	2.1996e-009	8.3550e-010	-3.0533e-009	-9.2064e-010
2.2385e+013	6.2820e-010	-3.1951e-010	3.4949e-010	-7.0858e-011
2.2400e+013	1.9410e-009	-1.4376e-009	-3.4362e-009	7.3103e-010
2.2415e+013	-3.4163e-009	-2.3185e-009	2.6162e-009	3.8274e-009
2.2430e+013	-4.8084e-010	4.8500e-009	1.7538e-009	-2.3864e-009
2.2446e+013	4.0931e-009	-1.4164e-009	4.4631e-010	-4.8636e-010
2.2461e+013	-1.1713e-009	-1.5737e-009	-1.6610e-009	-3.3329e-009
2.2476e+013	7.1529e-010	-8.9238e-010	-4.0192e-009	3.2696e-009
2.2491e+013	-2.4282e-009	-1.4641e-009	2.6223e-009	3.2000e-009
2.2507e+013	-1.1041e-009	1.9831e-009	2.9480e-009	-1.9424e-010
2.2522e+013	6.2273e-010	6.2243e-010	8.6280e-010	-3.3306e-009
2.2537e+013	1.3340e-010	-3.3592e-010	-2.1721e-009	1.1097e-009
2.2552e+013	-1.4562e-009	8.1085e-010	4.0040e-009	-1.5262e-009
2.2568e+013	1.9526e-009	2.4040e-009	-5.2813e-009	-4.5749e-009
2.2583e+013	1.8447e-009	-2.2537e-009	-2.4981e-009	5.4752e-009
2.2598e+013	-1.2527e-009	-3.1102e-010	1.6781e-009	6.2866e-010
2.2614e+013	6.7380e-010	-1.5757e-010	1.2876e-009	2.5754e-009
2.2629e+013	-7.9666e-010	-5.9664e-010	3.6981e-009	-3.4139e-009
2.2644e+013	-4.9164e-010	7.1784e-010	-4.0006e-009	-1.9102e-009
2.2659e+013	1.0536e-009	1.5631e-009	-4.7956e-010	1.6986e-009
2.2675e+013	3.7604e-009	-2.3244e-009	-1.8807e-009	1.5634e-009
2.2690e+013	-3.4708e-009	-5.8388e-009	3.8047e-009	4.2626e-009
2.2705e+013	-6.4708e-009	2.9528e-009	4.5421e-009	-4.2712e-009
2.2720e+013	6.0098e-010	5.1194e-009	-1.9802e-009	-3.3715e-009
2.2736e+013	2.2198e-009	1.9945e-009	-1.3464e-009	-1.2073e-009
2.2751e+013	2.9415e-009	1.0077e-009	-2.9273e-009	-1.5627e-009
2.2766e+013	3.0333e-009	-1.6995e-009	-4.9328e-009	2.7674e-009
2.2781e+013	6.1673e-010	-2.9163e-009	2.1752e-009	7.1531e-009
2.2797e+013	-1.1117e-009	-2.2428e-009	6.5526e-009	-2.4568e-009
2.2812e+013	-2.0634e-009	-7.9825e-010	-3.3802e-009	-3.2510e-009
2.2827e+013	-1.4932e-009	3.8964e-010	5.6184e-010	3.6483e-009
2.2842e+013	-1.1740e-009	1.0361e-009	2.3293e-009	-2.4244e-009
2.2858e+013	4.9253e-010	9.0212e-010	-1.6425e-009	2.5794e-010
2.2873e+013	-1.4164e-009	-6.1385e-010	2.7497e-009	-3.7061e-010
2.2888e+013	-1.2394e-009	3.8736e-009	-1.4863e-009	-3.6564e-009
2.2903e+013	3.9556e-009	1.9375e-009	-2.4103e-009	5.0870e-010
2.2919e+013	2.6754e-009	-1.0953e-009	-2.1631e-009	-4.9160e-011
2.2934e+013	2.4495e-009	-3.4809e-009	-1.7354e-009	4.9838e-009
2.2949e+013	-3.8243e-009	-3.6977e-009	6.2997e-009	1.1274e-009
2.2964e+013	-1.9549e-009	3.0425e-009	-1.3669e-009	-5.4075e-009
2.2980e+013	1.4859e-009	-6.2208e-010	-3.0588e-009	3.4959e-009
2.2995e+013	-1.5210e-009	-6.0362e-010	3.0381e-009	9.3916e-010
2.3010e+013	-1.3622e-009	4.5531e-010	3.2991e-010	1.7409e-010
2.3026e+013	-8.8991e-010	2.8648e-009	4.0671e-009	-1.0744e-009
2.3041e+013	3.1959e-009	1.2502e-009	-1.9127e-009	-6.1453e-009
2.3056e+013	1.1064e-009	-1.7096e-009	-5.4686e-009	1.8787e-009
2.3071e+013	1.3579e-010	-1.4904e-009	1.2065e-009	2.9816e-009
2.3087e+013	-2.2801e-009	-5.9778e-010	3.0403e-010	-7.1475e-010
2.3102e+013	1.6087e-010	2.4576e-009	-4.9944e-010	1.4621e-009
2.3117e+013	1.8227e-009	-3.9085e-010	1.9329e-009	-3.0700e-010
2.3132e+013	8.2588e-010	-1.5315e-009	-2.2765e-009	-1.1489e-009
2.3148e+013	-2.5397e-009	-2.2920e-009	3.9796e-010	4.4955e-009
2.3163e+013	-2.2812e-009	4.0978e-009	5.1128e-009	-1.6224e-009
2.3178e+013	4.4921e-009	8.6461e-010	-1.3801e-009	-3.2141e-009
2.3193e+013	-1.6729e-010	-3.1361e-009	8.1349e-011	-4.4325e-010
2.3209e+013	-1.2305e-009	-3.0213e-010	-2.5280e-009	-2.5757e-009
2.3224e+013	-1.2108e-009	1.7140e-010	-2.9397e-009	3.1566e-009
2.3239e+013	-6.2737e-011	7.0372e-010	1.7567e-009	1.6306e-009
2.3254e+013	-1.4367e-009	4.1418e-010	1.4994e-010	6.8181e-010
2.3270e+013	1.0455e-009	3.4717e-009	2.6480e-009	2.2199e-010
2.3285e+013	3.7905e-009	-9.8659e-010	-9.6297e-010	-3.3312e-009
2.3300e+013	3.5310e-010	-2.6241e-009	-2.8499e-009	3.3308e-009
2.3315e+013	-1.3679e-009	-2.0399e-009	5.7943e-009	1.7507e-009
2.3331e+013	-2.5946e-009	7.5317e-010	6.8293e-010	-6.8837e-009
2.3346e+013	3.5312e-010	1.8166e-009	-5.6695e-009	-3.2363e-010
2.3361e+013	9.1778e-010	2.6285e-010	-9.5765e-010	2.7073e-009
2.3376e+013	6.8024e-010	-7.6539e-010	-2.1097e-010	1.8865e-009
2.3392e+013	-6.8542e-010	-2.9634e-010	1.7578e-009	1.5985e-009
2.3407e+013	6.7432e-010	-4.8727e-010	1.4800e-009	-6.1112e-011
2.3422e+013	-2.5584e-009	-1.4225e-009	1.8394e-009	-8.4471e-010
2.3438e+013	-1.5926e-009	3.9055e-009	-1.5678e-010	-1.8266e-009
2.3453e+013	3.3563e-009	1.4946e-009	5.4012e-010	-9.7457e-010
2.3468e+013	1.1971e-009	-1.5601e-009	-2.5183e-009	-3.1821e-009
2.3483e+013	-1.2407e-010	-9.1657e-011	-3.6061e-009	3.1669e-009
2.3499e+013	2.0906e-009	-2.5043e-010	1.6091e-009	1.6844e-009
2.3514e+013	-2.4786e-010	-4.1817e-009	-2.5799e-010	1.4049e-009
2.3529e+013	-4.3341e-009	6.7827e-010	3.1698e-009	2.4343e-010
2.3544e+013	1.3588e-009	2.1636e-009	-1.0689e-009	-1.8348e-009
2.3560e+013	-3.8261e-010	-1.5086e-009	1.2160e-009	1.3977e-009
2.3575e+013	-8.1986e-010	8.6478e-010	-1.6215e-010	-2.5301e-009
2.3590e+013	-1.0227e-009	-3.2648e-010	-3.0903e-010	1.9042e-009
2.3605e+013	-1.5014e-009	3.0932e-009	1.5119e-009	-3.5229e-009
2.3621e+013	3.0121e-009	2.4860e-009	-5.3387e-009	1.2067e-009
2.3636e+013	2.8042e-009	-6.5272e-010	4.0788e-009	3.6414e-009
2.3651e+013	2.0345e-009	-1.6591e-009	4.4940e-010	-4.8878e-009
2.3666e+013	1.0238e-009	-3.1238e-009	-3.4179e-009	1.0773e-009
2.3682e+013	-2.2824e-009	-3.6549e-009	-1.0558e-010	1.1159e-009
2.3697e+013	-3.8523e-009	4.4938e-010	-7.3012e-010	2.2797e-009
2.3712e+013	-1.3847e-009	7.7574e-010	3.2062e-009	1.9692e-009
2.3727e+013	-3.5745e-009	2.7419e-009	2.9034e-009	-2.4892e-009
2.3743e+013	3.3830e-009	5.8467e-009	-1.6217e-009	-3.2725e-009
2.3758e+013	4.3438e-009	-3.0944e-009	-2.3826e-009	2.0580e-009
2.3773e+013	-1.9374e-009	-5.1534e-010	3.6099e-009	1.7198e-010
2.3788e+013	2.5149e-009	4.2053e-010	-2.2475e-009	-4.7591e-009
2.3804e+013	-8.3335e-010	-2.7764e-009	-4.3069e-009	3.4050e-009
2.3819e+013	-8.8226e-010	1.5225e-009	2.8318e-009	2.5296e-009
2.3834e+013	1.6274e-009	-9.8739e-010	7.6561e-010	-1.4472e-009
2.3849e+013	-1.2121e-009	-1.0676e-009	-4.8824e-010	-9.7356e-011
2.3865e+013	2.9420e-010	-4.5020e-011	-5.8952e-010	1.8259e-010
2.3880e+013	-1.3187e-009	-2.1989e-009	-2.6347e-010	1.6673e-009
2.3895e+013	-3.7728e-009	1.2987e-009	2.8273e-009	1.3029e-009
2.3911e+013	-3.5944e-011	4.0702e-009	2.0366e-009	-3.7171e-009
2.3926e+013	2.9299e-009	1.4491e-009	-3.7983e-009	-1.0574e-009
2.3941e+013	1.5565e-009	-1.1933e-009	1.6198e-009	2.5667e-009
2.3956e+013	2.3735e-011	-1.0087e-010	3.9378e-010	-3.9622e-009
2.3972e+013	1.7219e-009	-3.0186e-010	-3.7570e-009	1.2861e-009
2.3987e+013	-1.9701e-010	-2.2788e-009	1.2598e-009	9.8732e-010
2.4002e+013	-1.0227e-009	6.2373e-010	-2.0667e-009	-3.2673e-011
2.4017e+013	1.9504e-009	-9.1246e-010	5.4547e-010	3.2033e-009
2.4033e+013	-1.6959e-009	-3.5681e-009	2.3614e-009	5.0448e-010
2.4048e+013	-4.2476e-009	4.7897e-010	1.8872e-009	-1.0761e-009
2.4063e+013	-1.8365e-009	3.0433e-009	-3.9110e-010	-1.4780e-009
2.4078e+013	1.4886e-010	3.4516e-009	9.2842e-010	6.3010e-011
2.4094e+013	3.2572e-009	2.9469e-009	-2.3261e-010	-3.0782e-009
2.4109e+013	4.3134e-009	-1.6311e-009	-2.8459e-009	-1.0726e-010
2.4124e+013	1.5754e-010	-3.0078e-009	-1.6751e-009	8.0699e-010
2.4139e+013	1.9004e-011	-1.1460e-009	-5.0710e-010	3.5587e-009
2.4155e+013	-1.2801e-009	-2.4762e-009	3.8547e-009	-2.1210e-010
2.4170e+013	-2.5215e-009	1.0671e-009	-1.4611e-009	-2.0183e-009
2.4185e+013	9.2192e-010	3.1320e-010	2.5191e-011	9.1285e-010
2.4200e+013	-2.1469e-009	-9.1690e-010	-1.5812e-009	1.3992e-010
2.4216e+013	-9.5295e-010	2.8437e-009	2.5101e-009	3.7136e-009
2.4231e+013	1.5579e-009	9.0527e-010	3.3752e-009	-4.4489e-009
2.4246e+013	5.8922e-010	9.6312e-011	-3.6013e-009	-9.3484e-010
2.4261e+013	3.9537e-010	1.5716e-010	1.3605e-009	5.6330e-010
2.4277e+013	1.1395e-009	8.1165e-010	-1.7182e-009	-1.7797e-009
2.4292e+013	2.1567e-009	-1.6601e-009	-4.9831e-010	9.9142e-010
2.4307e+013	-1.0254e-009	-2.3261e-009	-2.1610e-009	-1.0732e-009
2.4323e+013	-1.3543e-009	-6.2963e-010	-1.7391e-009	5.0315e-009
2.4338e+013	-2.1899e-009	3.2596e-010	5.2317e-009	1.2600e-009
2.4353e+013	5.1170e-011	2.5106e-009	1.8687e-010	-2.5409e-009
2.4368e+013	1.5845e-009	-3.1960e-010	1.0827e-009	6.9113e-010
2.4384e+013	-4.2935e-010	-5.9056e-010	9.4576e-010	-3.0452e-009
2.4399e+013	-6.6109e-010	1.2365e-010	-2.1200e-009	-8.4866e-010
2.4414e+013	-2.2805e-010	1.6918e-009	-1.0105e-009	-4.9492e-010
2.4429e+013	2.5120e-009	2.3537e-010	-2.1082e-009	1.4724e-009
2.4445e+013	-4.2063e-011	-2.1743e-009	1.3570e-009	9.6661e-010
2.4460e+013	-8.9295e-010	2.9973e-010	-2.0335e-009	1.4203e-010
2.4475e+013	4.2165e-010	-3.0910e-010	2.4239e-009	4.2596e-009
2.4490e+013	-6.5322e-010	-4.9617e-010	4.0546e-009	-3.6577e-009
2.4506e+013	-4.9779e-010	1.3754e-010	-2.6587e-009	-2.2697e-009
2.4521e+013	-8.1088e-010	2.2179e-010	-9.4637e-010	3.1623e-010
2.4536e+013	-3.6962e-010	1.8501e-009	-1.2897e-009	8.7414e-010
2.4551e+013	2.7349e-009	9.0176e-010	1.0011e-009	1.1166e-009
2.4567e+013	8.7432e-010	-3.0401e-009	4.1420e-011	-1.9002e-010
2.4582e+013	-2.2401e-009	-1.9896e-010	1.1239e-009	5.5419e-010
2.4597e+013	6.5490e-010	2.6117e-010	5.3773e-010	-1.4709e-009
2.4612e+013	-2.0986e-009	-1.0972e-009	-2.4230e-010	-9.0481e-010
2.4628e+013	-9.6833e-010	3.4814e-009	-2.1487e-009	-1.4807e-009
2.4643e+013	2.9186e-009	6.3689e-010	-2.0454e-009	3.3682e-009
2.4658e+013	5.6346e-010	-6.6083e-010	3.2326e-009	8.3589e-010
2.4673e+013	1.8745e-009	-7.7621e-010	-1.3256e-009	-1.5360e-009
2.4689e+013	-8.1141e-010	-3.1368e-009	4.9605e-010	3.0582e-009
2.4704e+013	-2.6588e-009	2.7425e-010	3.4737e-009	-1.3883e-009
2.4719e+013	-4.9572e-010	1.3334e-009	-7.6714e-010	-2.5825e-009
2.4734e+013	4.0902e-010	5.1300e-010	-1.0465e-009	-3.8410e-010
2.4750e+013	-7.6819e-010	-2.3245e-010	-6.9928e-010	-3.6122e-010
2.4765e+013	-1.8685e-010	2.4135e-009	-1.1783e-009	-2.3923e-010
2.4780e+013	2.5135e-009	-7.8020e-011	-1.4161e-009	1.2496e-009
2.4796e+013	2.2890e-010	-2.5155e-010	4.4821e-010	1.3832e-009
2.4811e+013	2.6110e-009	-2.1277e-009	-3.4550e-011	1.2518e-009
2.4826e+013	-5.0761e-009	-2.9937e-009	3.1837e-009	1.2181e-009
2.4841e+013	2.7278e-010	6.7802e-009	4.0575e-010	-3.8505e-009
2.4857e+013	5.4214e-009	-4.7572e-009	-2.1802e-009	2.0850e-009
2.4872e+013	-6.5977e-009	-1.8883e-009	3.8468e-009	-8.2244e-010
2.4887e+013	9.1625e-010	4.4665e-009	-2.3989e-009	-2.9845e-009
2.4902e+013	8.7544e-010	-1.2099e-009	-3.0425e-010	8.2175e-010
2.4918e+013	-1.8159e-010	7.2779e-010	-2.3389e-009	-1.7293e-009
2.4933e+013	-3.5202e-010	2.0230e-010	-1.9758e-009	3.6310e-009
2.4948e+013	1.6440e-009	1.8653e-009	1.6381e-009	1.6069e-009
2.4963e+013	1.7834e-009	-2.4425e-009	1.8925e-009	1.3444e-009
2.4979e+013	-9.9529e-010	-6.0906e-010	2.1511e-009	-2.1411e-009
2.4994e+013	-9.7178e-011	-1.4868e-009	-9.7641e-010	-5.3417e-010
2.5009e+013	-2.4362e-009	5.5081e-010	1.0467e-009	-8.7790e-010
2.5024e+013	5.6713e-010	1.3607e-009	-7.9965e-010	-1.1949e-009
2.5040e+013	6.2122e-010	5.6341e-010	-1.5060e-009	-2.0992e-009
2.5055e+013	1.4446e-009	-2.3213e-009	-4.8617e-009	3.7968e-009
2.5070e+013	-5.2889e-009	-4.0965e-010	6.5730e-009	3.7369e-009
2.5085e+013	1.8364e-009	6.1921e-009	-9.6584e-010	-6.1460e-009
2.5101e+013	3.5439e-009	-2.6226e-009	-1.4681e-009	4.6871e-009
2.5116e+013	-5.9970e-010	3.8443e-010	3.8584e-009	-3.7691e-009
2.5131e+013	2.0688e-009	-2.3109e-009	-4.9952e-009	-9.0522e-011
2.5146e+013	-3.0156e-009	-4.9633e-010	2.0493e-009	1.8857e-009
2.5162e+013	2.2258e-009	9.0115e-010	-1.7372e-009	-7.3046e-010
2.5177e+013	-1.4855e-009	-3.6254e-009	1.3304e-009	2.8416e-009
2.5192e+013	-3.2778e-009	1.4943e-009	2.3700e-009	-9.5718e-010
2.5208e+013	-6.4925e-010	2.3173e-009	1.2265e-009	-2.8451e-009
2.5223e+013	1.4921e-009	2.3797e-009	-4.2345e-009	-1.9087e-009
2.5238e+013	1.8179e-009	-5.5897e-010	3.1397e-010	3.9118e-009
2.5253e+013	6.6884e-010	4.0911e-010	5.5794e-010	-3.1205e-009
2.5269e+013	2.2303e-009	-1.6321e-009	-3.5190e-009	3.5493e-009
2.5284e+013	-1.7520e-009	-2.2799e-009	4.9654e-009	1.4066e-009
2.5299e+013	-7.6008e-010	1.3111e-009	-7.9639e-010	-2.9273e-009
2.5314e+013	1.0787e-009	-1.1910e-009	2.1188e-010	1.2783e-009
2.5330e+013	-2.3589e-009	-1.2518e-009	4.1322e-010	-1.9630e-009
2.5345e+013	-1.2691e-009	1.9410e-009	-2.0018e-009	5.9312e-010
2.5360e+013	-1.6410e-011	6.6611e-010	1.3252e-009	1.4639e-009
2.5375e+013	-3.5840e-010	2.3465e-009	1.1316e-009	-1.8633e-009
2.5391e+013	3.3833e-009	1.3921e-009	-1.7645e-009	-1.0815e-009
2.5406e+013	2.3952e-009	-2.3680e-009	-1.4628e-009	3.8486e-010
2.5421e+013	-2.1007e-010	-3.4550e-009	-1.9116e-009	2.5287e-009
2.5436e+013	-4.1937e-009	-1.4146e-009	3.8302e-009	3.7028e-009
2.5452e+013	-1.6633e-009	3.9340e-009	3.9092e-009	-4.1934e-009
2.5467e+013	2.5190e-009	9.8087e-010	-2.9081e-009	-2.7626e-009
2.5482e+013	1.1360e-010	-5.8532e-010	-1.2076e-009	5.2232e-010
2.5497e+013	1.1237e-009	7.7226e-010	-1.8578e-009	-1.0494e-010
2.5513e+013	1.7599e-009	-2.3498e-009	-8.5560e-010	3.6417e-009
2.5528e+013	-2.9631e-009	-2.4788e-009	4.6910e-009	6.5252e-010
2.5543e+013	-2.3769e-009	2.4409e-009	-5.8177e-010	-4.6129e-009
2.5558e+013	4.0754e-010	1.6442e-009	-2.9900e-009	1.8850e-009
2.5574e+013	1.2357e-009	2.2377e-009	1.7847e-009	4.5213e-010
2.5589e+013	3.4432e-009	-1.6603e-009	-1.2624e-009	-1.8930e-011
2.5604e+013	-2.1703e-009	-1.8876e-009	1.7605e-009	9.2858e-010
2.5620e+013	1.4030e-009	1.6718e-009	-7.7526e-010	-1.6196e-009
2.5635e+013	2.8167e-010	-3.8658e-009	4.6335e-010	2.0644e-009
2.5650e+013	-3.9625e-009	6.2904e-010	2.1199e-009	-2.5703e-009
2.5665e+013	1.3320e-010	2.5772e-009	-2.9990e-009	-1.7747e-009
2.5681e+013	1.7120e-009	9.9841e-010	-2.0594e-009	1.8955e-009
2.5696e+013	1.1922e-009	-2.2007e-009	5.7412e-010	2.7315e-009
2.5711e+013	-3.1291e-009	-1.2114e-011	2.7436e-009	1.8267e-010
2.5726e+013	1.3177e-009	3.2776e-009	5.8087e-010	-1.8023e-009
2.5742e+013	2.4864e-009	-1.3917e-009	-7.8175e-010	-8.8828e-010
2.5757e+013	-1.5426e-010	-1.3991e-009	-8.4977e-010	5.4982e-010
2.5772e+013	-4.0318e-010	-1.3201e-009	9.4309e-010	2.6910e-010
2.5787e+013	-2.2058e-009	-5.9663e-010	-3.6376e-010	-1.1841e-009
2.5803e+013	-1.4953e-009	2.5609e-009	-9.2815e-010	3.2979e-010
2.5818e+013	2.6523e-009	1.7264e-009	-3.7490e-010	4.7185e-010
2.5833e+013	1.0016e-009	-2.2715e-009	8.4729e-011	9.6061e-010
2.5848e+013	-1.1450e-009	2.9813e-011	7.5706e-010	3.9654e-010
2.5864e+013	3.3414e-010	-2.3173e-010	1.1896e-009	4.6370e-011
2.5879e+013	-7.3205e-010	2.6998e-010	6.3162e-010	-2.0641e-009
2.5894e+013	7.7561e-010	-2.1068e-010	-2.4064e-009	-3.4943e-010
2.5909e+013	-1.7867e-009	-1.0215e-010	7.0366e-010	1.7240e-009
2.5925e+013	1.5801e-009	2.4701e-009	1.1690e-010	-1.6464e-009
2.5940e+013	1.5345e-009	-2.8562e-009	-1.3230e-009	1.5314e-009
2.5955e+013	-2.4537e-009	1.9030e-010	1.8595e-009	-7.2971e-010
2.5970e+013	1.1122e-009	5.6788e-010	-3.4845e-009	-3.7429e-011
2.5986e+013	-1.2294e-009	-4.1160e-010	3.0703e-009	4.8665e-009
2.6001e+013	1.1918e-009	1.4268e-009	3.5639e-009	-5.0076e-009
2.6016e+013	2.6443e-013	-2.1692e-009	-3.7331e-009	-5.1883e-010
2.6031e+013	-1.7084e-009	1.5352e-009	1.8034e-009	-1.4228e-010
2.6047e+013	1.5579e-009	5.3819e-010	-3.5106e-009	-1.8890e-009
2.6062e+013	1.6937e-010	7.3814e-011	-6.5518e-010	3.6262e-009
2.6077e+013	1.8692e-009	-1.2524e-009	7.5191e-010	1.9777e-010
2.6093e+013	-2.7870e-009	-2.2061e-009	1.3644e-009	2.3078e-009
2.6108e+013	-9.4348e-010	3.1397e-009	3.1510e-009	-3.0710e-009
2.6123e+013	1.8321e-009	-5.8583e-010	-3.9234e-009	-1.8359e-009
2.6138e+013	-1.1347e-009	-8.6442e-011	-8.3367e-011	3.8325e-009
2.6154e+013	5.1380e-010	8.0992e-010	3.6832e-009	-8.7448e-010
2.6169e+013	6.3752e-010	3.2525e-010	-1.2064e-009	-3.9018e-009
2.6184e+013	1.5383e-009	-1.1603e-009	-3.9941e-009	1.6786e-009
2.6199e+013	-1.9058e-009	-2.0870e-009	2.6588e-009	3.4089e-009
2.6215e+013	-1.9365e-009	2.2257e-009	2.2541e-009	-3.9387e-009
2.6230e+013	2.1321e-009	1.5446e-009	-4.9233e-009	-9.9545e-010
2.6245e+013	9.1485e-010	-1.9506e-009	5.5266e-011	4.7452e-009
2.6260e+013	-1.5056e-009	2.7507e-010	2.7529e-009	-6.3566e-010
2.6276e+013	1.7343e-009	2.9553e-010	-3.6633e-010	5.3630e-010
2.6291e+013	-1.4590e-009	-2.4162e-009	3.2309e-009	-7.2486e-010
2.6306e+013	-1.6476e-009	2.5614e-009	-1.6866e-009	-3.5574e-009
2.6321e+013	2.1082e-009	3.1342e-011	-1.7686e-009	1.3777e-009
2.6337e+013	-1.2193e-009	-7.4068e-010	-4.4532e-011	7.3307e-011
2.6352e+013	-5.6330e-011	1.6778e-009	3.2696e-010	9.3629e-010
2.6367e+013	1.9308e-009	7.3200e-010	-2.4020e-011	-2.1184e-009
2.6382e+013	1.7316e-009	-2.3977e-009	-3.5165e-009	2.1288e-009
2.6398e+013	-2.5400e-009	-1.6336e-009	3.3253e-009	3.3910e-009
2.6413e+013	-3.5878e-010	1.6645e-009	2.3685e-009	-2.5458e-009
2.6428e+013	1.4493e-010	-8.4867e-010	-7.4266e-010	-1.5628e-009
2.6443e+013	-9.5353e-010	8.0913e-010	-1.1766e-009	-5.5931e-010
2.6459e+013	6.3200e-010	1.0571e-010	-1.0831e-009	8.1644e-010
2.6474e+013	-9.2052e-010	-7.0316e-011	5.9335e-010	1.6039e-009
2.6489e+013	-6.9121e-011	1.6442e-009	2.3300e-009	-1.0345e-009
2.6505e+013	1.8681e-009	4.1261e-010	-1.9207e-009	-2.3615e-009
2.6520e+013	3.9874e-012	-1.2330e-009	-9.7203e-010	2.0499e-009
2.6535e+013	4.6964e-010	1.6152e-009	6.4347e-010	-1.2219e-009
2.6550e+013	3.5611e-009	-2.4927e-009	-2.8746e-009	1.4429e-009
2.6566e+013	-3.3035e-009	-4.5618e-009	2.5000e-009	3.3703e-009
2.6581e+013	-4.2211e-009	2.0361e-009	3.1364e-009	-1.8514e-009
2.6596e+013	-4.3043e-010	3.1189e-009	-4.7262e-010	-2.6685e-009
2.6611e+013	2.0460e-009	2.2093e-009	-1.9085e-009	-2.7240e-010
2.6627e+013	2.1437e-009	-1.5502e-009	-2.6061e-012	7.6974e-010
2.6642e+013	-1.9545e-009	-5.7026e-010	-3.0789e-010	-7.3638e-010
2.6657e+013	1.4154e-009	3.1331e-009	-1.3561e-009	8.2316e-010
2.6672e+013	4.1355e-009	-2.8917e-009	9.5115e-010	1.5673e-009
2.6688e+013	-3.2757e-009	-3.6661e-009	1.1633e-009	-1.2635e-009
2.6703e+013	-1.4680e-009	2.2900e-009	-1.7734e-009	-1.6202e-010
2.6718e+013	3.8842e-010	-1.0363e-009	7.7447e-010	1.8348e-009
2.6733e+013	-2.0467e-009	1.1014e-009	1.1633e-009	-7.2750e-010
2.6749e+013	1.0532e-009	1.3049e-009	2.7404e-010	-4.1546e-010
2.6764e+013	2.1296e-010	7.8539e-011	-3.1509e-010	-9.0587e-010
2.6779e+013	5.8064e-010	1.9920e-011	-4.8420e-011	5.6629e-010
2.6794e+013	-2.9060e-010	4.1631e-010	2.8950e-010	-1.5157e-009
2.6810e+013	1.6494e-009	2.2708e-010	-1.6633e-009	5.3385e-010
2.6825e+013	-6.4962e-011	-1.2012e-009	8.2573e-010	-5.1600e-010
2.6840e+013	9.2862e-010	-4.5008e-010	-3.2864e-009	1.2725e-012
2.6855e+013	-1.8765e-009	-2.5628e-009	8.3248e-010	3.9647e-009
2.6871e+013	-1.9232e-009	2.7244e-009	1.8438e-009	-3.4048e-011
2.6886e+013	1.7109e-009	-2.3166e-010	2.2393e-009	1.1747e-009
2.6901e+013	-1.6719e-009	3.1824e-010	2.8611e-009	-3.7654e-009
2.6917e+013	1.1806e-009	1.4758e-009	-2.7407e-009	-2.8957e-009
2.6932e+013	8.2916e-010	-6.3974e-011	-2.4778e-009	6.3128e-011
2.6947e+013	1.4166e-009	-9.8024e-010	-1.5438e-009	2.3007e-009
2.6962e+013	-1.3615e-009	-1.2979e-009	1.7837e-009	6.1775e-010
2.6978e+013	2.0749e-010	4.9431e-010	-1.4665e-009	-3.6882e-010
2.6993e+013	-1.6623e-009	-1.0137e-009	1.2303e-009	2.2507e-009
2.7008e+013	1.8723e-010	3.2255e-009	1.0345e-009	-1.7028e-009
2.7023e+013	2.4861e-009	-2.3569e-009	-8.0759e-010	5.4653e-010
2.7039e+013	-3.4358e-009	9.2186e-011	6.1411e-010	-2.8122e-010
2.7054e+013	2.3635e-009	2.6620e-009	-4.3133e-010	8.6588e-010
2.7069e+013	1.1020e-009	-2.6655e-009	2.2789e-009	-1.1512e-010
2.7084e+013	-1.1339e-009	-1.9399e-010	-2.2184e-010	-2.2362e-009
2.7100e+013	-3.3948e-010	-8.3387e-010	-8.6478e-010	-5.6459e-010
2.7115e+013	-1.8429e-009	9.0212e-010	-1.3898e-009	-6.1472e-010
2.7130e+013	1.0703e-009	1.2744e-009	-1.1519e-009	1.1474e-009
2.7145e+013	-5.2309e-010	-5.4134e-010	-1.4494e-010	6.0932e-010
2.7161e+013	2.5221e-010	2.4108e-009	-3.8211e-010	1.2743e-009
2.7176e+013	3.1537e-009	-3.4166e-010	1.0644e-009	9.6275e-010
2.7191e+013	9.9479e-010	-2.3962e-009	5.4871e-010	4.7052e-010
2.7206e+013	-8.8728e-010	-3.2374e-009	2.1335e-009	8.0901e-010
2.7222e+013	-4.6577e-009	-5.1630e-010	2.3713e-009	-2.5310e-009
2.7237e+013	-1.8458e-009	3.9344e-009	-1.1193e-009	-3.1699e-009
2.7252e+013	1.7736e-009	3.5235e-009	-2.7482e-009	-1.3900e-009
2.7267e+013	4.9840e-009	-3.3274e-010	-3.4330e-009	1.4805e-009
2.7283e+013	-7.4147e-010	-4.6489e-009	9.1301e-011	3.5990e-009
2.7298e+013	-1.8603e-009	1.7103e-009	1.6964e-009	1.0808e-009
2.7313e+013	1.1702e-009	-1.6394e-009	2.1754e-009	9.4217e-010
2.7328e+013	-3.0643e-009	1.0019e-009	2.4025e-009	-3.1828e-009
2.7344e+013	2.6932e-009	1.5590e-009	-3.5288e-009	-1.7841e-009
2.7359e+013	-8.4250e-010	-2.1213e-009	1.6271e-011	2.5989e-009
2.7374e+013	4.9952e-011	1.5709e-009	6.4188e-010	-1.2130e-009
2.7390e+013	3.0171e-010	-1.6616e-009	-8.7238e-010	1.1767e-009
2.7405e+013	-1.6050e-009	1.1434e-009	1.8216e-009	-3.5226e-010
